Namn;Kortnamn;Volym;Marknadsvärde;GAV (SEK);GAV;Valuta;Land;ISIN;Marknad;Typ
Addtech B;ADDT B;2;658,00;341,05;341,05;SEK;SE;SE0014781795;XSTO;STOCK
Alfred Berg Gambak Global R (SEK);Alfred Berg Gambak Global R (SEK);29,3253;4153,22;136,40;136,40;SEK;NO;NO0013583344;FUND;FUND
Asmodee;ASMDEE B;55;8299,50;142,25;142,25;SEK;SE;SE0023615638;XSTO;STOCK
Avanza Zero;Avanza Zero;3,1837;1799,97;565,37;565,37;SEK;SE;SE0001718388;FUND;FUND
Corning;GLW;4;5625,66;1831,95;193,78;USD;US;US2193501051;XNYS;STOCK
Cuentas;;37;180,05;4,32;0,42;USD;;US2297943001;;STOCK
Evli Silver and Gold B;Evli Silver and Gold B;0,0429;621,46;13984,07;13984,07;SEK;FI;FI4000188982;FUND;FUND
Finserve Global Defence & Sec I SEK R;Finserve Global Defence & Sec I SEK R;28,38;8536,99;316,91;316,91;SEK;LU;LU1822851538;FUND;FUND
Franklin Biotechnology Discv A(acc)USD;Franklin Biotechnology Discv A(acc)USD;7,373;5117,26;678,11;678,11;SEK;LU;LU0109394709;FUND;FUND
Handelsbanken Global Momentum (A1 SEK);Handelsbanken Global Momentum (A1 SEK);64,3792;13796,46;219,01;219,01;SEK;SE;SE0015382114;FUND;FUND
Intel;INTC;6;5157,82;1090,36;116,05;USD;US;US4581401001;XNAS;STOCK
Lagercrantz Group B;LAGR B;18;3945,60;244,62;244,62;SEK;SE;SE0014990966;XSTO;STOCK
Latour B;LATO B;12;2455,20;198,86;198,86;SEK;SE;SE0010100958;XSTO;STOCK
Länsförsäkringar Fastighetsfond A;Länsförsäkringar Fastighetsfond A;0,3154;1786,51;5704,31;5704,31;SEK;SE;SE0000837338;FUND;FUND
Länsförsäkringar Global Index;Länsförsäkringar Global Index;4,0659;2425,04;590,25;590,25;SEK;SE;SE0005188836;FUND;FUND
Länsförsäkringar Sverige Vision A;Länsförsäkringar Sverige Vision A;0,4707;1824,75;3822,75;3822,75;SEK;SE;SE0000837221;FUND;FUND
Micron Technology;MU;2;18037,98;8584,77;900,53;USD;US;US5951121038;XNAS;STOCK
Mips;MIPS;2;753,60;418,65;418,65;SEK;SE;SE0009216278;XSTO;STOCK
NatWest Group Plc;NWGl;20;1808,91;87,97;6,80;GBP;GB;GB00BM8PJY71;CHIX;STOCK
Proact IT Group;PACT;16;2201,60;101,77;101,77;SEK;SE;SE0015961222;XSTO;STOCK
SEB Swedish Value Fund A (SEK);SEB Swedish Value Fund A (SEK);3,5926;2668,10;723,69;723,69;SEK;SE;SE0001838004;FUND;FUND
Spiltan Aktiefond Investmentbolag;Spiltan Aktiefond Investmentbolag;5,80928;5836,47;929,53;929,53;SEK;SE;SE0004297927;FUND;FUND
Swedbank Robur Technology A;Swedbank Robur Technology A;5,53;10049,23;1770,82;1770,82;SEK;SE;SE0000538944;FUND;FUND
XACT OMXS30 ESG (UCITS ETF);XACT OMXS30;1;481,50;454,43;454,43;SEK;SE;SE0000693293;XSTO;EXCHANGE_TRADED_FUND
iShares STOXX Europe 600 Banks UCITS ETF (DE);EXV1;5;2363,45;431,95;39,22;EUR;DE;DE000A0F5UJ7;XETR;EXCHANGE_TRADED_FUND
